Author,Title,Publication Title,Abstract Note,Publication Year,Vignettes?,Diagnosis Scenario/Methodology Type,Confidence/Calibration Measure,Fixed Information?,Information Stages?,Information Seeking as a DV? (Binary or Continuous),Novices and Experts?,Experience as an IV/DV?,Multiple Differentials as DV?,Case Complexity?,Medical Discipline,Any IDs?,Experience Level,Experience Mix,Sample Size,Acute vs Elective,Finding Category,Notes,Finding
"Lambe, K.A.; Hevey, D.; Kelly, B.D.",Guided reflection interventions show no effect on diagnostic accuracy in medical students,Frontiers in Psychology,"Background: Guided reflection interventions, in an effort to reduce diagnostic error, encourage diagnosticians to generate alternative diagnostic hypotheses and gather confirming and disconfirming evidence before making a final diagnosis. This method has been found to significantly improve diagnostic accuracy in recent studies; however, it requires a significant investment of time, and psychological theory suggests the possibility for unintended consequences owing to cognitive bias. This study compared a short and long version of a guided reflection task on improvements in diagnostic accuracy, change in diagnostic confidence, and rates of corrected diagnoses. Methods: One hundred and eighty-six fourth- and fifth-year medical students diagnosed a series of fictional clinical cases, by first impressions (control condition) or by using a short or long guided reflection process, and rated their confidence in their initial diagnostic hypothesis at intervals throughout the process. In the ""short"" condition, participants were asked to generate two alternatives to their initial diagnostic hypothesis; in the ""long"" condition, six alternatives were required. Results: The reflective intervention did not elicit more accurate final diagnoses than diagnosis based on first impressions only. Participants who completed a short version of the task performed similarly to those who completed a long version. Neither the short nor long form elicited significant changes in diagnostic confidence from the beginning to the end of the diagnostic process, nor did the conditions differ on the rate of corrected diagnoses. Conclusions: This study finds no evidence to support the use of the guided reflection method as a diagnostic aid for novice diagnosticians, who may already use an analytical approach to diagnosis and therefore derive less benefit from this intervention than their more experienced colleagues. The results indicate some support for a shorter, less demanding version of the process, and further study is now required to identify the most efficient process to recommend to doctors. © 2018 Lambe, Hevey and Kelly.",2018,Yes,Fictional patient cases,1-6 scale of confidence in original differential,Yes,No,No,No,No,Yes (either asked to generate two or six alternative diagnoses),No,Medical Students,No,,No,186,,Differential Information Intervention,,"Guided reflection or generating more differentials had no impact on accuracy, long condition with six diffferentials was significantly higher confidence to control"
"Kourtidis, Ploutarchos; Nurek, Martine; Delaney, Brendan; Kostopoulou, Olga",Influences of early diagnostic suggestions on clinical reasoning,Cognitive Research: Principles and Implications,"Previous research has highlighted the importance of physicians’ early hypotheses for their subsequent diagnostic decisions. It has also been shown that diagnostic accuracy improves when physicians are presented with a list of diagnostic suggestions to consider at the start of the clinical encounter. The psychological mechanisms underlying this improvement in accuracy are hypothesised. It is possible that the provision of diagnostic suggestions disrupts physicians’ intuitive thinking and reduces their certainty in their initial diagnostic hypotheses. This may encourage them to seek more information before reaching a diagnostic conclusion, evaluate this information more objectively, and be more open to changing their initial hypotheses. Three online experiments explored the effects of early diagnostic suggestions, provided by a hypothetical decision aid, on different aspects of the diagnostic reasoning process. Family physicians assessed up to two patient scenarios with and without suggestions. We measured effects on certainty about the initial diagnosis, information search and evaluation, and frequency of diagnostic changes. We did not find a clear and consistent effect of suggestions and detected mainly non-significant trends, some in the expected direction. We also detected a potential biasing effect: when the most likely diagnosis was included in the list of suggestions (vs. not included), physicians who gave that diagnosis initially, tended to request less information, evaluate it as more supportive of their diagnosis, become more certain about it, and change it less frequently when encountering new but ambiguous information; in other words, they seemed to validate rather than question their initial hypothesis. We conclude that further research using different methodologies and more realistic experimental situations is required to uncover both the beneficial and biasing effects of early diagnostic suggestions.",2022,Yes,2 patient scenarios with or without diagnostic suggestions,10 point visual analogue scale of certainty,Yes (but diagnostic aid used),No,Yes (what tests you would order),No,No,Yes,No,Family Medicine,No,,No,194,,Differential Information Intervention,Differential diagnosis list vs suggested diagnosis,"Diagnostic suggestion increased confidence, lower information seeking and led to less change in diagnoses"
"Friedman, C.; Gatti, G.; Elstein, A.; Franz, T.; Murphy, G.; Wolf, F.",Are clinicians correct when they believe they are correct? Implications for medical decision support,MEDINFO,"The process of clinical decision support is linked to the validity of clinicians' confidence in their judgments. Clinicians who are appropriately confident - highly confident when they are correct and less confident when they are incorrect - will access computer-based and other information resources only when they are needed. Clinicians who are consistently underconfident will rely on external resources when they are not needed. Those who are overconfident, who believe they are correct when in fact they are not, will be prone to medical errors. An extensive literature indicates a general tendency toward overconfidence in human judgment. This study explores the relationship between confidence and 'correctness', across three levels of clinical experience, in the task domain of diagnosis in internal medicine. We created detailed synopses of 36 diagnostically challenging cases and divided them into four equivalent sets of nine cases each. We asked 216 subjects at three experience levels (72 senior medical students, 72 senior medical residents, and 72 faculty attendings) to generate a differential diagnosis for each of the nine cases in one randomly-assigned set, and simultaneously to indicate their level of confidence in each of their diagnoses. We then examined the relationship between the correctness of these diagnoses (the appearance of the correct diagnosis anywhere in the hypothesis list) and these confidence judgments, for all subjects and separately for subjects at each experience level. Results indicate a small but statistically significant relationship associating correctness with higher confidence for all subjects (Kendall 's _b = -.106; p <.0001). This statistical relationship is strongest for the students (_b = -.121;p <.001), somewhat lesser but still significant for the faculty-level attendings (_b = -.103; p <.005), and non-significant (_b =-.041) for the residents. (The negative correlations are a coding artifact.) Subjects in this study showed a tendency toward underconfidence: they had low confidence in correct diagnoses more often than they had high confidence when wrong. Nonetheless, they were overconfident and thus 'error prone' for 17% of cases overall. The medical students were possibly overmatched by the difficulty of the cases, so their concordance between confidence and correctness may have resulted from an awareness that they were often guessing. The relatively low concordance seen in the residents and attendings makes a strong argument that decision support systems to reduce medical errors should include both 'push' and 'pull' models. In sum, these results indicate that medical decision support systems cannot rely exclusively on clinicians' perceptions of their information needs, as such perceptions will frequently be incorrect. © 2001 IMIA. All right reserved.",2001,Yes,36 clinical cases split into 4 equal groups,Confidence in each diagnosis,Yes,No,No,Yes,"Yes (students, residents, faculty)",Yes (up to 6),No (not explicitly),Internal Medicine,No,,Yes,216,,Confidence with Experience,,"Correlation between confidence and accuracy stronger for students compared to faculty, maybe because students knew they were guessing"
"Friedman, Charles P.; Gatti, Guido G.; Franz, Timothy M.; Murphy, Gwendolyn C.; Wolf, Fredric M.; Heckerling, Paul S.; Fine, Paul L.; Miller, Thomas M.; Elstein, Arthur S.",Do physicians know when their diagnoses are correct?: Implications for decision support and error reduction,Journal of General Internal Medicine,"OBJECTIVE: This study explores the alignment between physicians’ confidence in their diagnoses and the ‘‘correctness’’ of these diagnoses, as a function of clinical experience, and whether subjects were prone to over-or underconfidence. DESIGN: Prospective, counterbalanced experimental design. SETTING: Laboratory study conducted under controlled conditions at three academic medical centers. PARTICIPANTS: Seventy-two senior medical students, 72 senior medical residents, and 72 faculty internists. INTERVENTION: We created highly detailed, 2-to 4-page synopses of 36 diagnostically challenging medical cases, each with a definitive correct diagnosis. Subjects generated a differential diagnosis for each of 9 assigned cases, and indicated their level of confidence in each diagnosis.     MEASUREMENTS AND MAIN RESULTS: A differential was considered ‘‘correct’’ if the clinically true diagnosis was listed in that subject’s hypothesis list. To assess confidence, subjects rated the likelihood that they would, at the time they generated the differential, seek assistance in reaching a diagnosis. Subjects’ confidence and correctness were ‘‘mildly’’ aligned (k =.314 for all subjects, .285 for faculty, .227 for residents, and .349 for students). Residents were overconfident in 41% of cases where their confidence and correctness were not aligned, whereas faculty were overconfident in 36% of such cases and students in 25%.     CONCLUSIONS: Even experienced clinicians may be unaware of the correctness of their diagnoses at the time they make them. Medical decision support systems, and other interventions designed to reduce medical errors, cannot rely exclusively on clinicians’ perceptions of their needs for such support.",2005,Yes,2-4 page medical synopses diagnosis,Likelihood to seek assistance to reach a diagnosis,Yes,No,No,Yes,Yes,Yes,No,Internal Medicine,No,,Yes,216,,Confidence with Experience,,"Residents were overconfident in 41% of cases where their confidence and correctness were not aligned, whereas faculty were overconfident in 36% of such cases and students in 25%."
"Brannon, Laura A; Carson, Kimi L",Nursing expertise and information structure influence medical decision making,Applied Nursing Research,"This study examined the influence of nursing expertise and information structure on certainty of diagnostic decision making. Two hundred and sixteen nurse (experts), student nurse (novices), and non-nurse (naive) participants read patient scenarios either high in information structure (consistent diagnostic information) or low in information structure (inconsistent diagnostic information) and rated their certainty about what the potential diagnosis might be. Results indicated that participants with pre-existing cognitive schemata for processing patient information (experts and novices) were more certain about decision making with structured information than they were about unstructured information, but structure of information did not influence certainty ratings of naive participants.",2003,Yes,"Patient scenarios, manipulated information",0-100% scale confidence in diagnosis,No,No,No,Yes,Yes,No,Yes (consistent vs inconsistent diagnostic information),Nursing,No,,Yes,216,,Confidence with Experience,,"Naïve participants not affected by information consistency, but both novice and expert nurses signalled higher confidence with more consistent information"
"Katz, I.; O'Brien, B.; Clark, S.; Thompson, C. T.; Schapiro, B.; Azzi, A.; Lilleyman, A.; Boyle, T.; Espartero, L. J. L.; Yamada, M.; Prow, T. W.",Assessment of a Diagnostic Classification System for Management of Lesions to Exclude Melanoma,JAMA Network Open,"Importance: The proposed MOLEM (Management of Lesion to Exclude Melanoma) schema is more clinically relevant than Melanocytic Pathology Assessment Tool and Hierarchy for Diagnosis (MATH-Dx) for the management classification of melanocytic and nonmelanocytic lesions excised to exclude melanoma. A more standardized way of establishing diagnostic criteria will be crucial in the training of artificial intelligence (AI) algorithms. Objective: To examine pathologists' variability, reliability, and confidence in reporting melanocytic and nonmelanocytic lesions excised to exclude melanoma using the MOLEM schema in a population of higher-risk patients. Design, Setting, and Participants: This cohort study enrolled higher-risk patients referred to a primary care skin clinic in New South Wales, Australia, between April 2019 and December 2019. Baseline demographic characteristics including age, sex, and related clinical details (eg, history of melanoma) were collected. Patients with lesions suspicious for melanoma assessed by a primary care physician underwent clinical evaluation, dermoscopy imaging, and subsequent excision biopsy of the suspected lesion(s). A total of 217 lesions removed and prepared by conventional histologic method and stained with hematoxylin-eosin were reviewed by up to 9 independent pathologists for diagnosis using the MOLEM reporting schema. Pathologists evaluating for MOLEM schema were masked to the original histopathologic diagnosis. Main Outcomes and Measures: Characteristics of the lesions were described and the concordance of cases per MOLEM class was assessed. Interrater agreement and the agreement between pathologists' ratings and the majority MOLEM diagnosis were calculated by Gwet AC1 with quadratic weighting applied. The diagnostic confidence of pathologists was then assessed. Results: A total of 197 patients were included in the study (102 [51.8%] male; 95 [48.2%] female); mean (SD) age was 64.2 (15.8) years (range, 24-93 years). Overall, 217 index lesions were assessed with a total of 1516 histological diagnoses. Of 1516 diagnoses, 677 (44.7%) were classified as MOLEM class I; 120 (7.9%) as MOLEM class II; 564 (37.2%) as MOLEM class III; 114 (7.5%) as MOLEM class IV; and 55 (3.6%) as MOLEM class V. Concordance rates per MOLEM class were 88.6% (class I), 50.8% (class II), 76.2% (class III), 77.2% (class IV), and 74.2% (class V). The quadratic weighted interrater agreement was 91.3%, with a Gwet AC1 coefficient of 0.76 (95% CI, 0.72-0.81). The quadratic weighted agreement between pathologists' ratings and majority MOLEM was 94.7%, with a Gwet AC1 coefficient of 0.86 (95% CI, 0.84-0.88). The confidence in diagnosis data showed a relatively high level of confidence (between 1.0 and 1.5) when diagnosing classes I (mean [SD], 1.3 [0.3]), IV (1.3 [0.3]) and V (1.1 [0.1]); while classes II (1.8 [0.2]) and III (1.5 [0.4]) were diagnosed with a lower level of pathologist confidence (≥1.5). The quadratic weighted interrater confidence rating agreement was 95.2%, with a Gwet AC1 coefficient of 0.92 (95% CI, 0.90-0.94) for the 1314 confidence ratings collected. The confidence agreement for each MOLEM class was 95.0% (class I), 93.5% (class II), 95.3% (class III), 96.5% (class IV), and 97.5% (class V). Conclusions and Relevance: The proposed MOLEM schema better reflects clinical practice than the MPATH-Dx schema in lesions excised to exclude melanoma by combining diagnoses with similar prognostic outcomes for melanocytic and nonmelanocytic lesions into standardized classification categories. Pathologists' level of confidence appeared to follow the MOLEM schema diagnostic concordance trend, ie, atypical naevi and melanoma in situ diagnoses were the least agreed upon and the most challenging for pathologists to confidently diagnose.. © 2021 American Medical Association. All rights reserved.",2021,No,217 Lesions prepared and stained from patients,1-5 confidence,Yes,No,No,No,No,No,No (not explicitly),Pathology / Dermatology,No,,No,217,,Case Complexity Factors,,Confidence varied due to classes of melanoma
"Bergl, P. A.; Shukla, N.; Shah, J.; Khan, M.; Patel, J. J.; Nanchal, R. S.",Factors influencing diagnostic accuracy among intensive care unit clinicians – an observational study,Diagnosis,"Objectives: Diagnostic errors are a source of morbidity and mortality in intensive care unit (ICU) patients. However, contextual factors influencing clinicians’ diagnostic performance have not been studied in authentic ICU settings. We sought to determine the accuracy of ICU clinicians’ diagnostic impressions and to characterize how various contextual factors, including self-reported stress levels and perceptions about the patient’s prognosis and complexity, impact diagnostic accuracy. We also explored diagnostic calibration, i.e. the balance of accuracy and confidence, among ICU clinicians. Methods: We conducted an observational cohort study in an academic medical ICU. Between June and August 2019, we interviewed ICU clinicians during routine care about their patients’ diagnoses, their confidence, and other contextual factors. Subsequently, using adjudicated final diagnoses as the reference standard, two investigators independently rated clinicians’ diagnostic accuracy and on each patient on a given day (“patient-day”) using 5-point Likert scales. We conducted analyses using both restrictive and conservative definitions of clinicians’ accuracy based on the two reviewers’ ratings of accuracy. Results: We reviewed clinicians’ responses for 464 unique patient-days, which included 255 total patients. Attending physicians had the greatest diagnostic accuracy (77–90 %, rated as three or higher on 5-point Likert scale) followed by the team’s primary fellow (73–88 %). Attending physician and fellows were also least affected by contextual factors. Diagnostic calibration was greatest among ICU fellows. Conclusions: Additional studies are needed to better understand how contextual factors influence different clinicians’ diagnostic reasoning in the ICU. © 2024 Walter de Gruyter GmbH. All rights reserved.",2024,No,Surveys during ICU,5 point likert scale,No,"No, dynamic",No,No,Yes,No (but specificity coded),No (not explicitly),ICU,No,,Yes,255,,Confidence with Experience,Also contextual,"Contextual factors like complexity, open mindedness and presence on rounds affected less experienced clinicians accuracy and confidence"
"Maserejian, N.N.; Lutfey, K.E.; McKinlay, J.B.",Do physicians attend to base rates? prevalence data and statistical discrimination in the diagnosis of coronary heart disease: Physicians and coronary heart disease,Health Services Research,"Objective. To examine whether physicians attend to gender prevalence data in diagnostic decision making for coronary heart disease (CHD) and to test the hypothesis that previously reported gender differences in CHD diagnostic certainty are due to discrimination arising from reliance on prevalence data (""statistical discrimination""). Data Sources. A vignette-based experiment of 256 randomly sampled primary care physicians conducted from 2006 to 2007. Study Design. Factorial experiment. Physicians observed patient presentations of cardinal CHD symptoms, standardized across design factors (gender, race, age, socioeconomic status). Data Collection. Structured interview. Principal Findings. Most physicians perceived the U.S. population CHD prevalence as higher in men (48.4 percent) or similar by gender (44.9 percent). For the observed patient, 52 percent did not change their CHD diagnostic certainty based on patient gender. Forty-eight percent of physicians were inconsistent in their population-level and individual-level CHD assessments. Physicians' assessments of CHD prevalence did not attenuate the observed gender effect in diagnostic certainty for the individual patient. Conclusions. Given an adequate presentation of CHD symptoms, physicians may deviate from their prevalence data during diagnostic decision making. Physicians' priors on CHD prevalence did not explain the gender effect in CHD certainty. Future research should examine personal stereotypes as an explanation for gender differences. © Health Research and Educational Trust.",2009,Yes,Vignettes of CHD,0-100 scale of certainty,Yes,No,No,No,No,No (single),No,Primary Care,No,,No,256,,Downstream Confidence / Patient Factors,,Physicians for the most part don't attend to gender prevalence data when making diagnoses for coronary heart disease when making certainty judgements
"Brezis, Mayer; Orkin-Bedolach, Yael; Fink, Daniel; Kiderman, Alexander",Does Physician's Training Induce Overconfidence That Hampers Disclosing Errors?,Journal of Patient Safety,"Respondents reported high levels of confidence for their answers to the questions of diagnosis and management, even when wrong—indicating miscalibration of confidence and accuracy. Compared with students, physicians had significantly higher levels of confidence, lower accuracy, and lower willingness to admit mistake. Although most respondents agreed in principle that errors should be disclosed, in the presented case, significantly less agreed to admit that a mistake might have occurred or to say so explicitly to the family. An association was found between overconfidence and discomfort with disclosure.
Conclusions
Our study shows overconfidence associated with clinician's training and with reluctance to admit mistake, suggesting a contributing role to the difficulty in leveraging safety events into quality improvement. Training physicians to have both knowledge and adequate self-doubt is an educational challenge.",2019,Yes,Survey with clinical vignette of a girl with urinary infection and penicillin allergy,5 point likert scale,Yes,Yes,No,Yes,Yes,No,No,Cross Disciplines,No,,Yes,266,,Confidence with Experience,Also downstream,"Compared with students, physicians had significantly higher levels of confidence, lower accuracy, and lower willingness to admit mistake."
"Davis, D.P.; Campbell, C.J.; Poste, J.C.; Ma, G.",The association between operator confidence and accuracy of ultrasonography performed by novice emergency physicians,Journal of Emergency Medicine,"The variable accuracy of emergency department (ED) ultrasound described in the literature has limited its utility as the sole imaging modality in critical decision making. Although ultrasound accuracy is highly dependent upon the technical abilities of the operator and conditions unique to each patient, no previous study of ED ultrasound has included estimates of operator confidence. This prospective observational study explores the association between operator confidence and the accuracy of ED ultrasound. Ultrasound was not performed in our ED until a formal training module was instituted. Patients were enrolled prospectively for the first year following the training module if they underwent one of the following ultrasound studies: abdominal examination for intraperitoneal fluid, right upper quadrant examination for gallstones, renal examination for hydronephrosis, pelvic examination for intrauterine pregnancy, abdominal examination for aorta diameter > 3 cm, or cardiac examination for pericardial fluid. In addition, formal ultrasound, computed tomography, magnetic resonance imaging, or an invasive procedure was required as a ""gold standard"" for each patient. Operators recorded their interpretation of the ED ultrasound and rated their confidence with the analysis before the formal imaging study or procedure. Test performance characteristics for each examination type and for all studies together were determined. The association between operator confidence and accuracy was explored using logistic regression and by determining test performance characteristics with patients stratified by confidence value. A total of 276 ED ultrasound studies were included. There were no significant differences in accuracy between ED attendings and residents. Overall accuracy, sensitivity, specificity, LR+, and LR- were 90%, 92%, 86%, 6.8, and 0.09, respectively. With confidence scores of 9 or 10 (n = 113), these values improved to 96%, 99%, 90%, 9.6, and 0.01, respectively. Logistic regression revealed an association between confidence and ED ultrasound accuracy (p < 0.001). It is concluded that a significant association exists between operator confidence and the accuracy of ED ultrasound. High confidence values are associated with clinically useful test performance characteristics. © 2005 Elsevier Inc.",2005,No,Ultrasound scanning,1-10 scale of confidence of correct test identification,Yes,"No, dynamic",No,No,No (novices only),No,No,Emergency Medicine,No,,No,276,,Confidence with Experience,,"Association between confidence and accuracy, no significant difference in confidence between attending vs resident physicians"
"Pusic, M. V.; Chiaramonte, R.; Gladding, S.; Andrews, J. S.; Pecaric, M. R.; Boutis, K.",Accuracy of self-monitoring during learning of radiograph interpretation,Medical Education,"This study shows that, in medical students learning radiograph interpretation, the development of self-monitoring skills can be measured and should not be assumed to necessarily vary in the same way as the underlying clinical skill.",2015,No,Ankle radiographs,Qualitative labels,Yes,No,No,No,No,No,No,Radiology / medical students,No,Students at different levels,No,283,,Calibration,,"Interaction between time taken and certainty, accuracy of self-monitoring decayed over retention interval"
"Clayton, Dayna A.; Eguchi, Megan M.; Kerr, Kathleen F.; Miyoshi, Kiyofumi; Brunyé, Tad T.; Drew, Trafton; Weaver, Donald L.; Elmore, Joann G.",Are Pathologists Self-Aware of Their Diagnostic Accuracy? Metacognition and the Diagnostic Process in Pathology,Medical Decision Making,"Background                   Metacognition is a cognitive process that involves self-awareness of thinking, understanding, and performance. This study assesses pathologists’ metacognition by examining the association between their diagnostic accuracy and self-reported confidence levels while interpreting skin and breast biopsies.                   Design                   We studied 187 pathologists from the Melanoma Pathology Study (M-Path) and 115 pathologists from the Breast Pathology Study (B-Path). We measured pathologists’ metacognitive ability by examining the area under the curve (AUC), the area under each pathologist’s receiver operating characteristic (ROC) curve summarizing the association between confidence and diagnostic accuracy. We investigated possible relationships between this AUC measure, referred to as metacognitive sensitivity, and pathologist attributes. We also assessed whether higher metacognitive sensitivity affected the association between diagnostic accuracy and a secondary diagnostic action such as requesting a second opinion.                   Results                   We found no significant associations between pathologist clinical attributes and metacognitive AUC. However, we found that pathologists with higher AUC showed a stronger trend to request secondary diagnostic action for inaccurate diagnoses and not for accurate diagnoses compared with pathologists with lower AUC.                   Limitations                   Pathologists reported confidence in specific diagnostic terms, rather than the broader classes into which the diagnostic terms were later grouped to determine accuracy. In addition, while there is no gold standard for the correct diagnosis to determine the accuracy of pathologists’ interpretations, our studies achieved a high-quality reference diagnosis by using the consensus diagnosis of 3 experienced pathologists.                   Conclusions                   Metacognition can affect clinical decisions. If pathologists have self-awareness that their diagnosis may be inaccurate, they can request additional tests or second opinions, providing the opportunity to correct inaccurate diagnoses.                   Highlights                   Metacognitive sensitivity varied across pathologists, with most showing higher sensitivity than expected by chance. None of the demographic or clinical characteristics we examined was significantly associated with metacognitive sensitivity. Pathologists with higher metacognitive sensitivity were more likely to request additional tests or second opinions for their inaccurate diagnoses.",2023,No,Diagnosis based on slides for microscopes,6 point scale confidence in correct diagnosis,Yes,No,No,No,Yes,No,Yes,Pathology,Yes (experience level and experience with specific cases like this),,Yes,302,,Downstream Confidence / Patient Factors,Also null experience findings,More metacognitively aware pathologists more likely to request further tests when unsure
"Thorlacius-Ussing, G.; Bruun, M.; Gjerum, L.; Frederiksen, K. S.; Rhodius-Meester, H. F. M.; Van Der Flier, W. M.; Waldemar, G.; Hasselbalch, S. G.; Nobili, F.",Comparing a Single Clinician Versus a Multidisciplinary Consensus Conference Approach for Dementia Diagnostics,Journal of Alzheimer's Disease,"Background: Evidence-based recommendations on the optimal evaluation approach for dementia diagnostics are limited. This impedes a harmonized workup across clinics and nations. Objective: To evaluate the diagnostic performance of a multidisciplinary consensus conference compared to a single clinician approach. Methods: In this prospective study, we enrolled 457 patients with suspected cognitive decline, from two European memory clinics. A diagnostic evaluation was performed at baseline independently in two ways: 1) by a single clinician and 2) at a multidisciplinary consensus conference. A syndrome diagnosis and an etiological diagnosis was made. The confidence in the diagnosis was recorded using a visual analogue scale. An expert panel re-evaluation diagnosis served as reference for the baseline syndrome diagnosis and a 12-24-month follow-up diagnosis for the etiological diagnosis. Results: 439 patients completed the study. We observed 12.5%discrepancy (k=0.81) comparing the baseline syndrome diagnoses of the single clinician to the consensus conference, and 22.3%discrepancy (k=0.68) for the baseline etiological diagnosis. The accuracy of the baseline etiological diagnosis was significantly higher at the consensus conference and was driven mainly by increased accuracy in the MCI group. Confidence in the etiological diagnosis at baseline was significantly higher at the consensus conference (p<0.005), especially for the frontotemporal dementia diagnosis. Conclusion: The multidisciplinary consensus conference performed better on diagnostic accuracy of disease etiology and increased clinicians' confidence. This highlights the importance of a multidisciplinary diagnostic evaluation approach for dementia diagnostics, especially when evaluating patients in the MCI stage. © 2021 - The authors.",2021,No,Real patient evaluations,0-100 Visual analogue scale,No,"No, dynamic",No,No,No,No,No (not explicitly),Neurology,No,,No,439,,Calibration,Groups vs individual,A MDT panel performed better than an individual cinician and with higher confidence
"Chen, Y.; Nagendran, M.; Kilic, Y.; Cavlan, D.; Feather, A.; Westwood, M.; Rowland, E.; Gutteridge, C.; Lambiase, P. D.",The diagnostic certainty levels of junior clinicians: A retrospective cohort study,Health Information Management Journal,"Background: Clinical decision-making is influenced by many factors, including clinicians’ perceptions of the certainty around what is the best course of action to pursue. Objective: To characterise the documentation of working diagnoses and the associated level of real-time certainty expressed by clinicians and to gauge patient opinion about the importance of research into clinician decision certainty. Method: This was a single-centre retrospective cohort study of non-consultant grade clinicians and their assessments of patients admitted from the emergency department between 01 March 2019 and 31 March 2019. De-identified electronic health record proformas were extracted that included the type of diagnosis documented and the certainty adjective used. Patient opinion was canvassed from a focus group. Results: During the study period, 850 clerking proformas were analysed; 420 presented a single diagnosis, while 430 presented multiple diagnoses. Of the 420 single diagnoses, 67 (16%) were documented as either a symptom or physical sign and 16 (4%) were laboratory-result-defined diagnoses. No uncertainty was expressed in 309 (74%) of the diagnoses. Of 430 multiple diagnoses, uncertainty was expressed in 346 (80%) compared to 84 (20%) in which no uncertainty was expressed. The patient focus group were unanimous in their support of this research. Conclusion: The documentation of working diagnoses is highly variable among non-consultant grade clinicians. In nearly three quarters of assessments with single diagnoses, no element of uncertainty was implied or quantified. More uncertainty was expressed in multiple diagnoses than single diagnoses. Implications: Increased standardisation of documentation will help future studies to better analyse and quantify diagnostic certainty in both single and multiple working diagnoses. This could lead to subsequent examination of their association with important process or clinical outcome measures. © The Author(s) 2021.",2021,Yes,Real patient cases deindentified,Qualitative labels translated into %,No,"No, dynamic",No,No,No,Yes (manipulated whether to show single or multiple),No,Emergency Medicine,No,,No,850,,Differential Information Intervention,,More uncertainty expressed with multiple differentials than with a single differential
"Redelmeier, Donald A.; Shafir, Eldar",The Fallacy of a Single Diagnosis,Medical Decision Making,"Background                   Diagnostic reasoning requires clinicians to think through complex uncertainties. We tested the possibility of a bias toward an available single diagnosis in uncertain cases.                   Design                   We developed 5 different surveys providing a succinct description of a hypothetical individual patient scenaric. Each scenario was formulated in 2 versions randomized to participants, with the versions differing only in whether an alternative diagnosis was present or absent. The 5 scenarios were designed as separate tests of robustness using diverse cases, including a cautious scenario, a risky scenario, a sophisticated scenario, a validation scenario, and a comparative scenario (each survey containing only 1 version of 1 scenario). Participants included community members ( n = 1104) and health care professionals ( n = 200) who judged the chances of COVID infection in an individual patient.                   Results                   The first scenario described a cautious patient and found a 47% reduction in the estimated odds of COVID when a flu diagnosis was present compared with absent (odds ratio = 0.53, 95% confidence interval 0.30 to 0.94, P = 0.003). The second scenario described a less cautious patient and found a 70% reduction in the estimated odds of COVID in the presence of a flu diagnosis (odds ratio = 0.30, 95% confidence interval 0.13 to 0.70, P < 0.001). The third was a more sophisticated scenario presented to medical professionals and found a 73% reduction in the estimated odds of COVID in the presence of a mononucleosis diagnosis (odds ratio = 0.27, 95% confidence interval 0.10 to 0.75, P < 0.001). Two further scenarios—avoiding mention of population norms—replicated the results.                   Limitations                   Brief hypothetical scenarios may overestimate the extent of bias in more complicated medical situations.                   Conclusions                   These results demonstrate that an available simple diagnosis can lead individuals toward premature closure and a failure to fully consider additional severe diseases.                   Highlights                   Occum’s razor has been debated for centuries yet rarely subjected to experimental testing for evidence-based medicine. This article offers direct evidence that people favor an available simple diagnosis, thereby neglecting to consider additional serious diseases. The bias can lead individuals to mistakenly lower their judged likelihood of COVID or another disease when an alternate diagnosis is present. This misconception over the laws of probability appears in judgments by community members and by health care workers. The pitfall in reasoning extends to high-risk cases and is not easily attributed to information, incentives, or random chance.",2023,Yes,Series of vignettes to diagnosis COVID,% likelhiood,Yes,No,No,No (but was community members and healthcare professionals),No,No (but choice was manipulated),No,Primary Care,No,,Yes,1304,,Differential Information Intervention,Prompting further information seeking,"A single simple diagnosis suggested to contribute to premature closure, without considering other diagnostic options"
